id;orderNumber;responsiblePerson;healthCareDistrict;vaccine;injections;arrived
6da3a8cf-c923-4c77-8f80-c69c935fe1df;1;Joonatan Siloma;KYS;Antiqua;4;2021-01-11T08:59:28.642790Z
1251aa6c-ebaf-4e33-89d3-d6f210497b94;2;Tarvo Puro;TAYS;Antiqua;4;2021-01-10T01:29:26.642846Z
c00e2610-5bd9-4f84-9597-1e7febfae62c;4;Linda Väisälä;HYKS;Antiqua;4;2021-01-08T05:33:37.642901Z
e8de1bb1-490c-48b7-bddd-c4b6d4ed835c;5;Alfred Kalliala;TAYS;Antiqua;4;2021-01-27T16:02:09.642922Z
6f4dac20-374e-42d5-9403-f4e0c8e7bedb;8;Miikka Kulomäki;HYKS;Antiqua;4;2021-03-05T03:51:27.643049Z
b546d626-5d04-485d-856c-6d57ea3ae74a;10;Lempi Särkilahti;KYS;Antiqua;4;2021-03-04T08:36:44.643107Z
37940c46-8016-45f6-b02c-9480ea78d88b;11;Kaappo Kuusisto;HYKS;Antiqua;4;2021-01-06T02:53:22.643128Z
22362ab6-22ca-4f68-a4d5-087bb1db7e81;16;Verneri Mustakallio;HYKS;Antiqua;4;2021-03-04T18:46:52.643241Z
2ec3d796-20ff-45ee-97b1-b71787454748;17;Tapani Nuorvala;HYKS;Antiqua;4;2021-03-16T17:48:46.643260Z
8929e5d9-ef3d-46ca-b123-ad9990f5cd80;19;Jasmin Tuomas-Kettunen;HYKS;Antiqua;4;2021-01-06T11:56:07.643300Z
aaa11fbc-921e-4c58-9aa3-274576fcd5b1;23;Marianna Holma;OYS;Antiqua;4;2021-01-19T17:36:17.643380Z
7b7140a2-9810-494f-a175-3eddb963e29f;24;Loviisa Pohjanpalo;HYKS;Antiqua;4;2021-04-11T13:17:56.643401Z
74ef0bc6-db5a-4ea1-9579-4989b4f9fa0e;25;Ella Nuorpuu;KYS;Antiqua;4;2021-02-12T12:16:40.643424Z
ad6ac95b-3b91-48b7-a9b5-648f6059a0fa;28;Hellin Arni;TAYS;Antiqua;4;2021-01-10T04:29:29.643485Z
8317f3a9-a0d4-4b7d-b9d3-90d6096b7871;29;Valio Karisto;HYKS;Antiqua;4;2021-03-28T02:01:12.643506Z
929b22a6-d810-428c-9807-fccd31147c6c;30;Aarno Hirvensalo;HYKS;Antiqua;4;2021-03-13T11:08:11.643530Z
bda26ed7-fbae-4c26-826b-21c7cee49733;32;Aini Vaaskivi;TAYS;Antiqua;4;2021-02-02T22:33:39.643569Z
73eb0dc9-48cf-4956-b859-02727306f898;33;Cecilia Pohjanpalo;HYKS;Antiqua;4;2021-02-10T12:38:32.643607Z
a5b5fecd-5dc1-4940-bc50-9a2805d7bedd;44;Senja Hiekkala;HYKS;Antiqua;4;2021-01-05T00:21:49.643864Z
3794de4d-fab8-4489-9821-2b5991afc8f6;57;Krista Niitemaa;TYKS;Antiqua;4;2021-04-08T16:39:27.644150Z
f3813063-d0be-487c-9d16-4fa31d03a81d;58;Mette Äimä;TYKS;Antiqua;4;2021-03-20T23:52:15.644180Z
36182f0d-3135-423b-a2b7-c1c567a80d08;63;Oivi Paasilinna;HYKS;Antiqua;4;2021-03-21T07:50:10.644361Z
dca54089-62b7-4379-99f6-925008026abf;67;Ulla Osmonsalo;HYKS;Antiqua;4;2021-03-15T20:06:07.644841Z
d5412df4-4443-4303-bbc0-3e75f2aa525e;68;Maaret Rautavuori;TAYS;Antiqua;4;2021-03-15T16:05:23.644875Z
02a10a29-ce21-4f48-a3ca-338778cd22a1;76;Miko Ahtisaari;HYKS;Antiqua;4;2021-01-13T10:22:04.646094Z
f9930a4b-73b1-4465-8b07-bd972407d0a5;77;Olli Honkajuuri;KYS;Antiqua;4;2021-03-19T06:07:19.646113Z
b2815083-2d52-4ac6-828d-7532fd76616d;78;Suoma Ritavuori;HYKS;Antiqua;4;2021-02-17T15:54:14.646133Z
930394f9-3810-4c7e-896c-d83fb58f4815;80;Asta Pohjanpää;HYKS;Antiqua;4;2021-01-13T13:23:33.646179Z
24a590f0-924f-47a1-abb9-7b956bad5778;82;Salme Almi;OYS;Antiqua;4;2021-02-18T01:29:43.646216Z
8c55d8f1-12c3-441f-87bb-9890ae79f3da;85;Rami Siilasvuo;TYKS;Antiqua;4;2021-03-07T19:30:49.646296Z
524fe5e9-bc41-45cf-bc39-1209a2156e73;91;Asta Svento;OYS;Antiqua;4;2021-02-12T23:40:22.646411Z
9ade06df-8f40-4c95-abcc-ee804215a064;93;Kylli Paasivuori;TAYS;Antiqua;4;2021-02-07T05:54:14.646448Z
1a530b56-2e86-4bd1-92d9-7f274f2eda2e;94;Max Jalas;TYKS;Antiqua;4;2021-02-04T00:12:56.646485Z
82851b61-43d5-474f-9cec-a7ee1e42d297;95;Veera Leikola;TYKS;Antiqua;4;2021-03-16T21:51:47.646506Z
415610e7-7d00-4c5b-8a6c-c3c8756c658d;100;Rebekka Kulo;TAYS;Antiqua;4;2021-02-06T06:16:58.646622Z
a6a34ca5-b7ce-40ea-b7ca-375ae4436512;101;Eero Heporauta;TAYS;Antiqua;4;2021-03-23T09:31:07.646640Z
cc915414-dab3-4fb6-8d43-360c4b9b8941;102;Marko Linkola;HYKS;Antiqua;4;2021-01-31T08:03:23.646659Z
3ee04596-2d1b-4ec5-bf2a-2afb61531e90;105;Reeta Heliövaara;OYS;Antiqua;4;2021-03-29T13:43:26.646710Z
858d971c-03d8-4fc9-bd36-2d8172e7a0f9;106;Saima Kuusisto;OYS;Antiqua;4;2021-01-06T00:11:57.646728Z
b4518134-9b34-4004-bc4c-8e2f637a2ebf;107;Melina Salmiala;TAYS;Antiqua;4;2021-03-13T18:08:10.646746Z
564d48c4-c89e-4d3f-aa47-529315ab821c;108;Fiona Siilasvuo;HYKS;Antiqua;4;2021-03-18T19:15:18.646765Z
8a4b4cb9-b27c-4f7c-ade7-ce4238a0dca6;110;Päiviö Karisto;OYS;Antiqua;4;2021-03-11T15:13:10.646801Z
92595904-c667-4581-9fcb-81843babe801;111;Kaisa Jalas;TAYS;Antiqua;4;2021-04-03T10:40:41.646819Z
5547ac12-2ad8-450e-b91a-d73d07f30ee1;115;Isto Halsti;KYS;Antiqua;4;2021-02-20T18:29:37.646896Z
0a724f66-e2ee-45c8-95f3-2f1ba57f930d;130;Reeta Hattara;TYKS;Antiqua;4;2021-01-07T13:20:40.647179Z
95e981b9-ebfb-4f9e-8f86-23c7b3082cdc;131;Nita Malmivaara;HYKS;Antiqua;4;2021-02-28T20:19:39.647198Z
286d57a5-db58-4741-b9a4-26921080364a;132;Terhi Reenpää;KYS;Antiqua;4;2021-02-13T10:15:59.647215Z
d56ed4aa-f949-4dfc-a65c-ff0051212d00;134;Viena Vala;HYKS;Antiqua;4;2021-01-28T22:51:57.647251Z
3f1a8ef6-baa1-4ac5-a608-51fb36c86cdb;140;Hannes Merikanto;KYS;Antiqua;4;2021-03-17T15:23:03.647395Z
b99b69de-2df2-409c-9926-ec405b09319d;142;Rauha Waltari;HYKS;Antiqua;4;2021-02-15T06:49:29.647435Z
2127b36b-7366-402d-8948-64eae985cd3f;144;Elsi Korpijaakko;HYKS;Antiqua;4;2021-03-21T18:19:05.647470Z
426561ed-0e0c-4a1c-80bb-cdf705ac83c2;146;Kalle Puroma;HYKS;Antiqua;4;2021-04-10T04:11:37.647505Z
7ecf7808-74a7-47cb-80e3-4d75a8a880fb;147;Seppo Linkomies;HYKS;Antiqua;4;2021-01-15T06:41:20.647522Z
e616b3d0-b2d4-4431-9dc9-70d81f203773;153;Anja Linkomies;TAYS;Antiqua;4;2021-04-10T17:35:00.647637Z
00ad50f7-4b41-4b60-941e-a51a3152d00d;156;Signe Jurkka;HYKS;Antiqua;4;2021-03-31T23:56:12.647692Z
